ID,Politics_Today,Vaccine_Willingness,Financial_Security,Conflict_1,Conflict_2,Conflict_3,Authoritarian_1,Authoritarian_2,Authoritarian_3,Authoritarian_4,YOB,FSA,Age,Gender,Education,Income,Children,Home_Ownership,Region,Rural_FSA
56,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1955,V8S,55+,Male,HS,"$100,000 - $149,999",Yes,Rented (even if no cash rent is paid)?,BC,No
57,Conservative Party led by Erin O’Toole,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Well-behaved,Curiosity,1954,B3K,55+,Male,Trades,"$35,000 - $49,999",No,Rented (even if no cash rent is paid)?,Atlantic,No
58,NDP led by Jagmeet Singh,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Curiosity,1969,V2B,35-54,Female,Bachelors,"$100,000 - $149,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
59,Undecided/unsure,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1994,V3B,18-34,Female,Bachelors,"$70,000 - $99,999",No,Rented (even if no cash rent is paid)?,BC,No
60,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Well-behaved,Good manners,1967,N4S,35-54,Female,Bachelors,"0 - $34,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
62,Liberal Party led by Justin Trudeau,Very willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Well-behaved,Curiosity,1998,M1X,18-34,Male,Bachelors,"$70,000 - $99,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
65,Undecided/unsure,Not at all willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Obedience,Well-behaved,Good manners,1981,M6J,35-54,Female,Bachelors,"$100,000 - $149,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
66,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1972,M6C,35-54,Male,Bachelors,"$200,000 and over",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
67,Undecided/unsure,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1959,L9R,55+,Male,HS,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
68,Liberal Party led by Justin Trudeau,Very willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1974,V6K,35-54,Female,Bachelors,"0 - $34,999",No,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
69,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Creative,Good manners,1992,M9N,18-34,Female,HS,"$70,000 - $99,999",No,Rented (even if no cash rent is paid)?,Ontario,No
70,Liberal Party led by Justin Trudeau,Very willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1991,L5B,18-34,Female,Advanced,"$100,000 - $149,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
71,Undecided/unsure,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1987,K8P,18-34,Female,College,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
73,NDP led by Jagmeet Singh,Somewhat willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Creative,Curiosity,1984,L4N,35-54,Female,HS,"0 - $34,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
74,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Creative,Good manners,1969,T6J,35-54,Male,College,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
75,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1986,T6L,18-34,Male,Bachelors,"$100,000 - $149,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
77,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1981,L1G,35-54,Female,College,"$100,000 - $149,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
78,NDP led by Jagmeet Singh,Somewhat willing,No,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Respect for elders,Self-reliance,Creative,Good manners,1974,L8L,35-54,Female,HS,"$100,000 - $149,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
79,Undecided/unsure,Not too willing,No,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Respect for elders,Obedience,Well-behaved,Good manners,1985,L7A,35-54,Female,Advanced,"$70,000 - $99,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
80,Undecided/unsure,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1992,P3A,18-34,Female,HS,"$35,000 - $49,999",No,Rented (even if no cash rent is paid)?,Ontario,No
81,NDP led by Jagmeet Singh,Somewhat willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Creative,Curiosity,1986,M2M,18-34,Female,Bachelors,"$35,000 - $49,999",No,Rented (even if no cash rent is paid)?,Ontario,No
86,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1996,M1J,18-34,Female,College,"$35,000 - $49,999",No,Rented (even if no cash rent is paid)?,Ontario,No
88,Liberal Party led by Justin Trudeau,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1954,T6G,55+,Female,Advanced,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
89,Liberal Party led by Justin Trudeau,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1975,N0L,35-54,Male,College,"0 - $34,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,Yes
91,NDP led by Jagmeet Singh,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1973,T5R,35-54,Female,HS,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
93,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Curiosity,1993,M5E,18-34,Male,Bachelors,"$50,000 - $69,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
95,Undecided/unsure,NA,No,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1966,K6H,35-54,Female,Bachelors,"0 - $34,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
97,NDP led by Jagmeet Singh,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1980,L6E,35-54,Female,Bachelors,"$70,000 - $99,999",No,Rented (even if no cash rent is paid)?,Ontario,No
98,Conservative Party led by Erin O’Toole,Very willing,No,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1977,A2H,35-54,Female,Trades,"$100,000 - $149,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Atlantic,No
99,Liberal Party led by Justin Trudeau,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Good manners,1990,M6L,18-34,Female,Bachelors,"$50,000 - $69,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
100,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1999,M1E,18-34,Male,HS,"$50,000 - $69,999",No,Rented (even if no cash rent is paid)?,Ontario,No
102,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1993,N1E,18-34,Female,Bachelors,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
103,Liberal Party led by Justin Trudeau,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Creative,Curiosity,1992,L4S,18-34,Male,Bachelors,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
104,Conservative Party led by Erin O’Toole,Not too willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Creative,Good manners,1997,N3T,18-34,Female,HS,"0 - $34,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
105,Undecided/unsure,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Good manners,1978,S4V,35-54,Female,Bachelors,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
106,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1980,M1B,35-54,Male,Advanced,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
107,Undecided/unsure,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Good manners,1944,T8N,55+,Female,HS,NA,Yes,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
108,Conservative Party led by Erin O’Toole,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1944,V9B,55+,Male,College,"$50,000 - $69,999",No,Rented (even if no cash rent is paid)?,BC,No
109,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1959,E1G,55+,Male,Advanced,"$100,000 - $149,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Atlantic,No
110,A different political party,NA,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1959,L4Y,55+,Male,Bachelors,NA,Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
112,NDP led by Jagmeet Singh,Not at all willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Well-behaved,Good manners,1983,N2K,35-54,Female,College,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
115,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1956,K2S,55+,Male,College,NA,No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
116,Undecided/unsure,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1975,L5M,35-54,Female,College,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
117,NDP led by Jagmeet Singh,Very willing,No,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Well-behaved,Curiosity,1996,V9M,18-34,Female,HS,"$35,000 - $49,999",No,Rented (even if no cash rent is paid)?,BC,No
119,NDP led by Jagmeet Singh,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Well-behaved,Good manners,1994,P6B,18-34,Female,Bachelors,"$70,000 - $99,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
120,Conservative Party led by Erin O’Toole,NA,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Well-behaved,Good manners,1967,L9A,35-54,Female,College,"$50,000 - $69,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
123,Undecided/unsure,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1960,K0A,55+,Male,HS,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,Yes
124,NDP led by Jagmeet Singh,Very willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Creative,Curiosity,1964,B2X,55+,Male,Trades,"0 - $34,999",No,Rented (even if no cash rent is paid)?,Atlantic,No
125,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Curiosity,1973,L9R,35-54,Male,Bachelors,"$100,000 - $149,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
126,Conservative Party led by Erin O’Toole,Very willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Curiosity,1942,K2J,55+,Male,Advanced,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
127,NDP led by Jagmeet Singh,NA,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1949,T5Z,55+,Female,HS,"0 - $34,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
129,Undecided/unsure,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1958,K2B,55+,Male,College,"$70,000 - $99,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
132,Liberal Party led by Justin Trudeau,Somewhat willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1955,E2A,55+,Male,Trades,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Atlantic,No
133,Liberal Party led by Justin Trudeau,Not too willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Respect for elders,Self-reliance,Well-behaved,Good manners,1956,T5K,55+,Female,HS,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
134,A different political party,Not at all willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1955,N3P,55+,Male,Trades,"0 - $34,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
135,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Well-behaved,Good manners,1967,L4H,35-54,Male,Bachelors,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
136,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Curiosity,1971,L7M,35-54,Female,Bachelors,"$50,000 - $69,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
137,Conservative Party led by Erin O’Toole,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1983,T5G,35-54,Female,Bachelors,"$50,000 - $69,999",No,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
138,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1971,B3Z,35-54,Female,Advanced,NA,No,Owned by you or a member of your household (even if it is still being paid for)?,Atlantic,No
139,Conservative Party led by Erin O’Toole,Very willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Well-behaved,Good manners,1979,M3B,35-54,Female,Bachelors,"$150,000 - $199,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
141,Liberal Party led by Justin Trudeau,Somewhat willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1967,M6H,35-54,Female,College,"0 - $34,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
142,Don’t intend to vote,Not too willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are too large and we cannot come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1963,T8L,55+,Male,Trades,"$50,000 - $69,999",No,Rented (even if no cash rent is paid)?,Prairies,No
